Newreno RTT flow 1,Newreno RTT flow 2,Tahoe RTT flow 1,Tahoe RTT flow 2,Vegas RTT flow 1,Vegas RTT flow 2
0.0,0.0,0.0,0.0,0.0,0.0
11.0,9.9,11.0,6.3,48.0,32.0
11.0,52.8,11.0,45.2,48.0,64.0
39.7,36.9,44.4,35.2,56.0,64.0
53.7,61.4,57.4,59.8,48.0,48.0
73.3,81.6,73.4,75.0,48.0,48.0
82.2,79.9,82.2,81.7,48.0,48.0
65.6,73.0,53.0,57.4,48.0,48.0
59.8,61.6,49.7,50.1,48.0,48.0
75.0,76.5,68.2,64.8,48.0,48.0
82.2,83.3,79.0,80.6,48.0,48.0
65.7,69.3,82.4,83.8,48.0,48.0
61.0,55.0,48.5,58.8,48.0,48.0
75.4,72.4,53.3,50.0,48.0,48.0
82.2,73.2,69.8,75.8,48.0,48.0
66.5,68.7,83.2,80.6,48.0,48.0
63.7,62.6,83.2,75.7,48.0,48.0
76.2,73.8,52.5,60.5,48.0,48.0
83.4,83.9,75.8,75.1,48.0,48.0
66.5,63.3,83.0,84.2,48.0,48.0
57.3,59.1,66.6,59.7,48.0,48.0
72.2,74.9,44.0,44.2,48.0,48.0
79.8,83.1,67.6,57.4,48.0,48.0
63.3,68.3,79.0,78.4,48.0,48.0
61.4,58.3,83.0,84.1,48.0,48.0
76.2,69.8,66.2,66.4,48.0,48.0
83.0,75.6,55.8,48.8,48.0,48.0
66.5,66.5,67.6,75.7,48.0,48.0
57.3,60.7,80.6,78.6,48.0,48.0
76.2,73.1,83.0,63.9,48.0,48.0
83.4,83.9,69.8,63.1,48.0,48.0
66.5,67.3,55.4,63.4,48.0,48.0
57.3,58.3,78.7,74.5,48.0,48.0
72.2,74.1,80.1,84.1,48.0,48.0
79.8,82.2,76.6,80.6,48.0,48.0
63.3,68.1,54.0,56.0,48.0,48.0
61.4,58.2,50.5,64.2,48.0,48.0
76.2,69.8,65.8,59.7,48.0,48.0
83.4,75.8,76.5,73.2,48.0,48.0
66.9,65.8,83.0,80.1,48.0,48.0
63.3,59.9,62.2,59.3,48.0,48.0
77.0,73.2,50.5,52.1,48.0,48.0
83.4,83.9,70.6,64.7,48.0,48.0
66.5,67.2,80.1,74.3,48.0,48.0
